% Model:              SimulationA.mph
% Version:            COMSOL 6.1.0.357
% Date:               Dec 9 2023, 16:05
% Table:              Evaluation Group 1 - 
% Time (s)               es.Q0_2/es.V0_2 (F)      Displacement field, X-component (µm), Point: 293
0.0014700000000000002    NaN                      7.622410074465056E-6
0.0014800000000000002    NaN                      7.450851524644211E-6
0.0014900000000000002    NaN                      7.279292974823366E-6
0.0015                   NaN                      7.1077344250025246E-6
0.00151                  NaN                      6.9361758751816805E-6
0.00152                  NaN                      6.7646173253608365E-6
0.0015300000000000001    NaN                      6.593058775539992E-6
0.0015400000000000001    NaN                      6.421500225719148E-6
0.0015500000000000002    NaN                      6.249941675898303E-6
0.0015600000000000002    NaN                      6.071813818281562E-6
0.0015700000000000002    NaN                      5.848972740332273E-6
0.00158                  NaN                      5.6261316623829894E-6
0.00159                  NaN                      5.403290584433701E-6
0.0016                   NaN                      5.180449506484413E-6
0.00161                  NaN                      4.957608428535125E-6
0.0016200000000000001    NaN                      4.734767350585836E-6
0.0016300000000000002    NaN                      4.511926272636548E-6
0.0016400000000000002    NaN                      4.28908519468726E-6
0.0016500000000000002    NaN                      4.066244116737972E-6
0.0016600000000000002    NaN                      3.843403038788684E-6
0.00167                  NaN                      3.6205619608393993E-6
0.00168                  NaN                      3.397720882890112E-6
0.00169                  NaN                      3.174879804940823E-6
0.0017000000000000001    NaN                      2.952038726991535E-6
0.0017100000000000001    NaN                      2.7291976490422465E-6
0.0017200000000000002    NaN                      2.506356571092958E-6
0.0017300000000000002    NaN                      2.2835154931436695E-6
0.0017400000000000002    NaN                      2.060674415194382E-6
0.00175                  NaN                      1.8378333372450982E-6
0.00176                  NaN                      1.6353902933370195E-6
0.00177                  NaN                      1.5717840673665968E-6
0.0017800000000000001    NaN                      1.5081778413961738E-6
0.0017900000000000001    NaN                      1.444571615425751E-6
0.0018000000000000002    NaN                      1.3809653894553282E-6
0.0018100000000000002    NaN                      1.3173591634849053E-6
0.0018200000000000002    NaN                      1.2537529375144823E-6
0.0018300000000000002    NaN                      1.1901467115440594E-6
0.00184                  NaN                      1.126540485573638E-6
0.00185                  NaN                      1.0629342596032152E-6
0.00186                  NaN                      9.993280336327923E-7
0.0018700000000000001    NaN                      9.357218076623695E-7
0.0018800000000000002    NaN                      8.721155816919467E-7
0.0018900000000000002    NaN                      8.085093557215239E-7
0.0019000000000000002    NaN                      7.449031297511009E-7
0.0019100000000000002    NaN                      6.812969037806781E-7
0.0019200000000000003    NaN                      6.176906778102552E-7
0.00193                  NaN                      5.540844518398337E-7
0.00194                  NaN                      4.90478225869411E-7
0.0019500000000000001    NaN                      4.268719998989881E-7
0.0019600000000000004    NaN                      3.7055084991291395E-7
0.00197                  NaN                      3.6381471219114264E-7
0.00198                  NaN                      3.57078574469371E-7
0.00199                  NaN                      3.503424367475995E-7
0.002                    NaN                      3.436062990258278E-7
