% Model,SimulationA.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 9 2023, 17:56"
% Table,Evaluation Group 1 - 
% Time (s),es.Q0_2/es.V0_2 (F),"Displacement field, X-component (µm), Point: 292"
7.700000000000001E-4,2.268904525122783E-13,0.024264125638763085
7.800000000000001E-4,2.2652300199035906E-13,0.02041854624841769
7.9E-4,2.262211144399439E-13,0.01691033657260835
8.0E-4,2.25870219018832E-13,0.013743809598248283
8.100000000000001E-4,NaN,0.01100511852314153
8.200000000000001E-4,NaN,0.008778446550227248
8.300000000000001E-4,NaN,0.006878616101767741
8.4E-4,NaN,0.005321693098481149
8.500000000000001E-4,NaN,0.003959224297115246
8.600000000000001E-4,NaN,0.0031460335760846465
8.700000000000001E-4,NaN,0.0023328428550540474
8.8E-4,NaN,0.0015196521340234566
8.900000000000001E-4,NaN,0.0010634572828723615
9.000000000000001E-4,NaN,6.541562338126271E-4
9.100000000000001E-4,NaN,2.4485518475289255E-4
9.2E-4,NaN,-1.2675858487534648E-5
9.3E-4,NaN,-1.838674509654692E-4
9.400000000000001E-4,NaN,-3.550590434434038E-4
9.500000000000001E-4,NaN,-4.628881323767506E-4
9.600000000000001E-4,NaN,-4.719847500847729E-4
9.7E-4,NaN,-4.8108136779279504E-4
9.800000000000002E-4,NaN,-4.901779855008174E-4
9.9E-4,NaN,-4.992746032088395E-4
0.001,NaN,-5.083712209168618E-4
0.00101,NaN,-5.17467838624884E-4
0.00102,NaN,-4.934368436066937E-4
0.00103,NaN,-4.656389264162813E-4
0.0010400000000000001,NaN,-4.378410092258689E-4
0.0010500000000000002,NaN,-4.1004309203545653E-4
0.0010600000000000002,NaN,-3.8224517484504423E-4
0.00107,NaN,-3.5444725765463247E-4
0.00108,NaN,-3.3081174456743746E-4
0.00109,NaN,-3.1329382700721095E-4
0.0011,NaN,-2.957759094469844E-4
0.00111,NaN,-2.7825799188675786E-4
0.0011200000000000001,NaN,-2.6074007432653123E-4
0.0011300000000000001,NaN,-2.4322215676630466E-4
0.0011400000000000002,NaN,-2.2570423920607814E-4
0.0011500000000000002,NaN,-2.0818632164585157E-4
0.00116,NaN,-1.906684040856254E-4
0.00117,NaN,-1.7315048652539886E-4
0.00118,NaN,-1.5563256896517232E-4
0.00119,NaN,-1.3811465140494574E-4
0.0012000000000000001,NaN,-1.2059673384471919E-4
0.0012100000000000001,NaN,-1.0872057741330836E-4
0.0012200000000000002,NaN,-1.0467041241994731E-4
0.0012300000000000002,NaN,-1.0062024742658624E-4
0.00124,NaN,-9.657008243322528E-5
0.00125,NaN,-9.251991743986422E-5
0.00126,NaN,-8.846975244650316E-5
0.00127,NaN,-8.44195874531421E-5
0.00128,NaN,-8.036942245978103E-5
0.0012900000000000001,NaN,-7.631925746641998E-5
0.0013000000000000002,NaN,-7.226909247305892E-5
0.0013100000000000002,NaN,-6.821892747969786E-5
0.0013200000000000002,NaN,-6.41687624863368E-5
