% Model,coupled_V18V_T001_a0_overetch025_thickness30_offset01.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 7 2023, 05:13"
% Table,Evaluation Group 1 - 
% dx,Time (s),es.Q0_1/es.V0_1 (F),"Displacement field, X-component (µm), Point: 293"
5,0.00117,-Inf,-2.5151352432909833E-6
5,0.00118,-Inf,1.817408860779505E-5
5,0.00119,-Inf,3.8863312458881086E-5
5,0.0012000000000000001,Inf,4.951048316669471E-5
5,0.0012100000000000001,Inf,4.9172590792249475E-5
5,0.0012200000000000002,Inf,4.883469841780425E-5
5,0.0012300000000000002,Inf,4.8496806043359016E-5
5,0.00124,Inf,4.81589136689138E-5
5,0.00125,Inf,4.7821021294468564E-5
5,0.00126,Inf,4.748312892002334E-5
5,0.00127,Inf,4.7145236545578105E-5
5,0.00128,Inf,4.680734417113288E-5
5,0.0012900000000000001,Inf,4.6469451796687645E-5
5,0.0013000000000000002,Inf,4.613155942224242E-5
5,0.0013100000000000002,Inf,4.487044625842573E-5
5,0.0013200000000000002,Inf,4.322134238385212E-5
5,0.00133,Inf,4.157223850927854E-5
5,0.00134,Inf,3.992313463470492E-5
5,0.00135,Inf,3.8274030760131306E-5
5,0.00136,Inf,3.6624926885557686E-5
5,0.0013700000000000001,Inf,3.497582301098407E-5
5,0.0013800000000000002,Inf,3.332671913641045E-5
5,0.0013900000000000002,Inf,3.167761526183683E-5
5,0.0014000000000000002,Inf,3.0028511387263215E-5
5,0.00141,Inf,2.8379407512689633E-5
5,0.00142,Inf,2.6730303638116017E-5
5,0.00143,Inf,2.50811997635424E-5
5,0.00144,Inf,2.343209588896878E-5
5,0.0014500000000000001,Inf,2.178299201439517E-5
5,0.0014600000000000001,Inf,2.013388813982155E-5
5,0.0014700000000000002,Inf,1.8484784265247933E-5
5,0.0014800000000000002,Inf,1.6835680390674313E-5
5,0.0014900000000000002,Inf,1.5186576516100699E-5
5,0.0015,Inf,1.3537472641527117E-5
5,0.00151,-Inf,1.267686395533301E-5
5,0.00152,-Inf,1.2147626499173795E-5
5,0.0015300000000000001,-Inf,1.1618389043014585E-5
5,0.0015400000000000001,-Inf,1.1089151586855368E-5
5,0.0015500000000000002,-Inf,1.0559914130696156E-5
5,0.0015600000000000002,-Inf,1.0030676674536942E-5
5,0.0015700000000000002,-Inf,9.501439218377728E-6
5,0.00158,-Inf,8.972201762218527E-6
5,0.00159,-Inf,8.442964306059313E-6
5,0.0016,-Inf,7.9137268499001E-6
5,0.00161,-Inf,7.384489393740887E-6
5,0.0016200000000000001,-Inf,6.855251937581672E-6
5,0.0016300000000000002,-Inf,6.32601448142246E-6
5,0.0016400000000000002,-Inf,5.796777025263245E-6
5,0.0016500000000000002,-Inf,5.267539569104032E-6
5,0.0016600000000000002,-Inf,4.738302112944818E-6
5,0.00167,-Inf,4.209064656785617E-6
5,0.00168,-Inf,3.679827200626402E-6
5,0.00169,-Inf,3.1505897444671887E-6
5,0.0017000000000000001,-Inf,2.6213522883079754E-6
5,0.0017100000000000001,-Inf,2.388273991296308E-6
5,0.0017200000000000002,-Inf,2.279658882264917E-6
5,0.0017300000000000002,-Inf,2.171043773233526E-6
5,0.0017400000000000002,-Inf,2.062428664202135E-6
5,0.00175,-Inf,1.9538135551707466E-6
5,0.00176,-Inf,1.8451984461393551E-6
5,0.00177,-Inf,1.7365833371079641E-6
5,0.0017800000000000001,-Inf,1.6279682280765733E-6
5,0.0017900000000000001,-Inf,1.5193531190451821E-6
5,0.0018000000000000002,-Inf,1.4107380100137909E-6
5,0.0018100000000000002,-Inf,1.3021229009823999E-6
5,0.0018200000000000002,-Inf,1.1935077919510087E-6
5,0.0018300000000000002,-Inf,1.0848926829196179E-6
5,0.00184,-Inf,9.762775738882292E-7
5,0.00185,-Inf,8.676624648568381E-7
5,0.00186,-Inf,7.59047355825447E-7
5,0.0018700000000000001,-Inf,6.504322467940559E-7
5,0.0018800000000000002,-Inf,5.418171377626649E-7
5,0.0018900000000000002,-Inf,4.332020287312739E-7
5,0.0019000000000000002,-Inf,3.245869196998829E-7
5,0.0019100000000000002,-Inf,2.820912877171352E-7
5,0.0019200000000000003,-Inf,2.673828797552492E-7
5,0.00193,-Inf,2.5267447179336353E-7
5,0.00194,-Inf,2.3796606383147755E-7
5,0.0019500000000000001,-Inf,2.2325765586959157E-7
5,0.0019600000000000004,-Inf,2.0854924790770525E-7
5,0.00197,-Inf,1.9384083994581993E-7
5,0.00198,-Inf,1.7913243198393393E-7
5,0.00199,-Inf,1.6442402402204797E-7
5,0.002,-Inf,1.4971561606016197E-7
