# overetch,offset,thickness,sensitivity 
0.351442,-0.334768,30.469626,0.004365
0.370383,0.036774,30.949351,0.004509
0.374828,0.447998,29.033216,0.004659
0.348465,-0.270717,29.743475,0.004609
0.356502,0.274843,30.055277,0.004426
0.191672,0.148312,30.276876,0.004466
0.309351,-0.434225,29.571223,0.004368
0.209943,-0.066542,29.437659,0.004613
0.170387,0.392660,30.749402,0.004472
0.223485,0.281208,30.619658,0.004591
0.477158,0.273003,29.073521,0.004410
0.377710,0.177066,30.740147,0.004470
0.354177,-0.053938,30.044578,0.004485
0.465688,0.498943,30.686710,0.004484
0.243294,-0.462862,30.576351,0.004512
0.177660,-0.402307,30.379403,0.004565
0.390419,0.270902,29.712683,0.004505
0.124562,-0.405567,30.746944,0.004351
0.270549,-0.408305,30.192596,0.004456
0.357971,0.150908,29.950118,0.004517
0.452915,0.308927,29.884353,0.004401
0.144237,0.296449,30.142329,0.004366
0.495180,-0.168197,29.814642,0.004406
0.148197,0.396295,30.541789,0.004433
0.316135,0.465687,30.338997,0.004543
0.446368,-0.343474,29.634776,0.004529
0.228144,-0.275129,29.300133,0.004559
0.295078,-0.134181,29.199271,0.004480
0.135198,0.246133,30.366674,0.004497
0.229089,-0.059685,30.315978,0.004480
0.431946,-0.203562,29.162063,0.004366
0.334624,0.107073,29.810066,0.004441
0.314596,-0.310720,29.519352,0.004616
0.489379,0.437943,30.405566,0.004447
0.379457,-0.377074,30.925463,0.004459
0.130902,0.086777,30.474903,0.004471
0.239627,-0.204336,29.608550,0.004449
0.312018,0.452535,29.478882,0.004419
0.307202,-0.132734,30.392693,0.004499
0.276162,0.411784,30.432844,0.004378
0.322372,-0.072463,30.857511,0.004629
0.162927,0.223192,30.829742,0.004417
0.466564,0.135933,30.869092,0.004391
0.484009,-0.420118,29.338154,0.004619
0.254108,-0.060920,29.080476,0.004462
0.450080,0.255792,30.974866,0.004460
0.135887,-0.200716,29.382354,0.004526
0.284164,0.196091,30.558537,0.004519
0.397093,0.310979,30.430764,0.004742
0.297658,0.232898,29.698241,0.004519
0.139985,0.108733,30.270558,0.004544
0.236728,-0.316881,29.272035,0.004403
0.418777,-0.428076,30.297743,0.004402
0.453979,-0.176402,30.333657,0.004480
0.264289,0.494661,29.734341,0.004485
0.317792,0.231146,29.226262,0.004375
0.185810,0.179275,29.872798,0.004455
0.281069,0.010353,30.923035,0.004537
0.393790,0.267695,30.101486,0.004449
0.183941,0.046192,30.244781,0.004416
0.104936,-0.446687,29.112824,0.004404
0.274088,0.405446,30.041547,0.004658
0.321092,-0.130097,29.192582,0.004498
0.258129,0.084308,30.770004,0.004665
0.367923,-0.459122,29.801929,0.004472
0.203741,-0.256821,30.840235,0.004394
0.471337,-0.152374,30.426138,0.004563
0.213751,0.306264,29.983050,0.004599
0.425300,0.180979,29.049388,0.004504
0.483632,-0.470115,29.934956,0.004629
0.151129,-0.401520,30.191739,0.004442
0.285442,0.365460,29.410039,0.004445
0.282242,-0.279747,29.059563,0.004562
0.229648,0.104738,29.233322,0.004917
0.267479,0.418369,29.642229,0.004541
0.353550,-0.304320,30.674279,0.004460
0.160191,0.170250,30.723887,0.004455
0.172012,0.319407,30.492597,0.004490
0.199554,0.128520,30.630460,0.004493
0.385738,-0.070855,29.425886,0.004470
0.491523,0.034166,29.067356,0.004394
0.439412,-0.136357,30.196636,0.004433
0.107350,0.401132,29.843707,0.004518
0.241905,-0.028609,30.587090,0.004432
0.145837,0.221042,30.583600,0.004663
0.395199,-0.258852,30.307495,0.004633
0.174354,0.028680,30.987795,0.004506
0.423742,-0.312335,30.967033,0.004625
0.409099,0.031709,30.900219,0.004485
0.202754,0.069306,30.981656,0.004498
0.116907,-0.298395,30.467268,0.004687
0.401403,-0.339882,30.168254,0.004442
0.352134,-0.014215,30.933561,0.004364
0.400212,0.205719,29.994686,0.004681
0.225927,0.161764,29.738701,0.004440
0.127315,0.244567,29.321957,0.004688
0.171393,-0.309130,29.414581,0.004554
0.387631,0.062239,30.799199,0.004544
0.345370,-0.449128,29.122412,0.004519
0.388087,0.206161,30.854181,0.004519
0.187741,0.457245,29.011391,0.004511
0.309930,0.155114,30.993226,0.004668
0.481397,0.057540,30.682486,0.004331
0.184813,-0.426555,29.795699,0.004345
0.274790,-0.157848,30.510960,0.004426
0.478262,0.472101,29.753197,0.004626
0.416639,-0.094393,29.168463,0.004520
0.451833,-0.457816,30.351821,0.004699
0.411949,0.067732,29.883463,0.004612
0.497087,0.325801,29.420602,0.004401
0.168532,0.127037,29.806631,0.004478
0.384269,-0.478195,30.978942,0.004563
0.337428,0.115477,29.626637,0.004543
0.119676,0.192078,29.076069,0.004464
0.344284,-0.345392,29.566021,0.004390
0.330151,0.186123,29.343894,0.004396
0.176807,-0.115925,29.675111,0.004380
0.292604,-0.236234,29.378217,0.004655
0.332782,0.260521,29.487794,0.004415
0.455800,-0.248513,29.328985,0.004497
0.237520,0.420083,30.860052,0.004416
0.206969,0.071875,30.845644,0.004477
0.417045,0.441596,30.311034,0.004384
0.108424,-0.413380,30.754141,0.004621
0.313121,0.345430,29.494587,0.004581
0.412273,-0.263157,29.258584,0.004574
