# overetch,offset,thickness,sensitivity 
0.346262,0.191298,29.888249,0.004653
0.312226,-0.153816,29.560894,0.004446
0.340012,0.021782,29.950651,0.004481
0.320618,-0.078677,30.350894,0.004509
0.244313,-0.119911,30.303460,0.004463
0.272767,0.050650,30.100984,0.004407
0.278881,0.015173,29.754839,0.004349
0.332253,0.012442,30.301099,0.004511
0.503022,-0.398967,29.874156,0.005713
0.238322,0.099236,29.576312,0.004360
0.358046,0.085793,29.984331,0.004567
0.350904,0.057096,30.055477,0.004538
0.302788,0.067848,29.884577,0.004422
0.335385,0.089064,30.042433,0.004521
0.281923,0.054173,30.318084,0.004449
0.353659,-0.019933,30.250784,0.004554
0.285072,0.065271,30.419639,0.004474
0.263931,0.032152,29.910192,0.004365
0.258993,0.169430,29.898928,0.004509
0.339795,-0.245879,29.694531,0.004659
0.374883,-0.062610,30.138915,0.004609
0.302106,0.022394,30.081966,0.004426
0.242580,0.165418,29.659972,0.004466
0.283436,0.018166,29.849789,0.004368
0.328227,-0.210580,29.955569,0.004613
0.293651,-0.146177,29.966435,0.004472
0.340869,-0.178176,29.975251,0.004591
0.298270,0.044660,29.942026,0.004410
0.309018,-0.116100,30.030677,0.004470
0.323586,-0.070561,30.170867,0.004485
0.265276,0.116810,30.253374,0.004484
0.331494,-0.023132,30.333889,0.004512
0.328660,0.173022,29.746118,0.004565
0.331011,0.115632,29.825253,0.004505
0.235477,-0.034777,29.918420,0.004351
0.324945,0.011249,30.026266,0.004456
0.357954,0.088555,29.635739,0.004517
0.269299,-0.032159,30.189859,0.004401
0.276259,-0.066959,29.816551,0.004366
0.285380,0.037082,30.052693,0.004406
0.316393,0.023623,29.957836,0.004433
0.317123,-0.182737,29.908701,0.004543
0.253365,-0.155847,30.441315,0.004529
0.340496,0.040951,30.432255,0.004559
0.310885,0.115794,29.905537,0.004480
0.284330,0.134402,30.093544,0.004497
0.307409,-0.192353,29.473331,0.004480
0.259442,0.036872,29.924423,0.004366
0.271841,-0.130470,30.011890,0.004441
0.340180,0.183535,29.821736,0.004616
0.326095,-0.040367,29.947762,0.004447
0.271021,-0.138523,30.073575,0.004459
0.327886,0.050040,29.991511,0.004471
0.304406,0.046399,30.145143,0.004449
0.282318,-0.036861,30.222727,0.004419
0.308085,0.119675,30.029729,0.004499
0.245054,-0.039005,30.090633,0.004378
0.367549,-0.038223,30.474314,0.004629
0.296012,0.007407,30.101026,0.004417
0.282770,-0.112049,29.728807,0.004391
0.306232,0.207705,29.931810,0.004619
0.335903,0.043536,29.829748,0.004462
0.305089,-0.100541,30.087782,0.004460
0.342805,0.075334,30.028420,0.004526
0.345629,0.089072,29.864580,0.004519
0.399255,0.097842,30.178204,0.004742
0.321306,-0.096608,30.332001,0.004519
0.357641,-0.097209,29.927647,0.004544
0.293816,-0.034470,30.024073,0.004403
0.285628,0.020470,30.069470,0.004402
0.308644,-0.054779,30.371684,0.004480
0.338427,-0.094549,29.859555,0.004485
0.314507,0.094460,29.283507,0.004375
0.285524,0.128140,29.855050,0.004455
0.330625,0.006080,30.515042,0.004537
0.291620,-0.033403,30.364660,0.004449
0.258667,-0.126766,29.906323,0.004416
0.227314,-0.086607,30.097277,0.004404
0.369898,-0.155095,30.119360,0.004658
0.320782,-0.148032,29.863307,0.004498
0.262019,0.244996,29.839148,0.004665
0.293489,-0.108757,30.235277,0.004472
0.279757,0.066842,29.891377,0.004394
0.338707,-0.157969,29.988796,0.004563
0.304207,0.201960,29.889329,0.004599
0.227038,-0.142959,30.365539,0.004504
0.378517,-0.156229,29.739643,0.004629
0.285865,-0.092117,30.177025,0.004442
0.320862,-0.073009,29.918520,0.004445
0.323284,0.099520,30.432363,0.004562
0.408315,-0.270401,29.821785,0.004917
0.268692,0.206164,29.617996,0.004541
